"period","respondent","respondent.name","type.name","value","value.units","date","hour","year","month","dayofweek","BGE_Rebate"
"2020-01-04T22","PJM","PJM Interconnection, LLC","Demand",86540,"megawatthours",2020-01-04,22,2020,1,"Saturday",0
"2020-01-04T21","PJM","PJM Interconnection, LLC","Demand",84393,"megawatthours",2020-01-04,21,2020,1,"Saturday",0
"2020-01-04T20","PJM","PJM Interconnection, LLC","Demand",84081,"megawatthours",2020-01-04,20,2020,1,"Saturday",0
"2020-01-04T19","PJM","PJM Interconnection, LLC","Demand",84651,"megawatthours",2020-01-04,19,2020,1,"Saturday",0
"2020-01-04T18","PJM","PJM Interconnection, LLC","Demand",84987,"megawatthours",2020-01-04,18,2020,1,"Saturday",0
"2020-01-04T17","PJM","PJM Interconnection, LLC","Demand",85208,"megawatthours",2020-01-04,17,2020,1,"Saturday",0
"2020-01-04T16","PJM","PJM Interconnection, LLC","Demand",84453,"megawatthours",2020-01-04,16,2020,1,"Saturday",0
"2020-01-04T15","PJM","PJM Interconnection, LLC","Demand",82686,"megawatthours",2020-01-04,15,2020,1,"Saturday",0
"2020-01-04T14","PJM","PJM Interconnection, LLC","Demand",80084,"megawatthours",2020-01-04,14,2020,1,"Saturday",0
"2020-01-04T13","PJM","PJM Interconnection, LLC","Demand",77604,"megawatthours",2020-01-04,13,2020,1,"Saturday",0
"2020-01-04T12","PJM","PJM Interconnection, LLC","Demand",75256,"megawatthours",2020-01-04,12,2020,1,"Saturday",0
"2020-01-04T11","PJM","PJM Interconnection, LLC","Demand",73710,"megawatthours",2020-01-04,11,2020,1,"Saturday",0
"2020-01-04T10","PJM","PJM Interconnection, LLC","Demand",72825,"megawatthours",2020-01-04,10,2020,1,"Saturday",0
"2020-01-04T09","PJM","PJM Interconnection, LLC","Demand",72964,"megawatthours",2020-01-04,9,2020,1,"Saturday",0
"2020-01-04T08","PJM","PJM Interconnection, LLC","Demand",73883,"megawatthours",2020-01-04,8,2020,1,"Saturday",0
"2020-01-04T07","PJM","PJM Interconnection, LLC","Demand",74646,"megawatthours",2020-01-04,7,2020,1,"Saturday",0
"2020-01-04T06","PJM","PJM Interconnection, LLC","Demand",76470,"megawatthours",2020-01-04,6,2020,1,"Saturday",0
"2020-01-04T05","PJM","PJM Interconnection, LLC","Demand",79710,"megawatthours",2020-01-04,5,2020,1,"Saturday",0
"2020-01-04T04","PJM","PJM Interconnection, LLC","Demand",83009,"megawatthours",2020-01-04,4,2020,1,"Saturday",0
"2020-01-04T03","PJM","PJM Interconnection, LLC","Demand",86564,"megawatthours",2020-01-04,3,2020,1,"Saturday",0
"2020-01-04T02","PJM","PJM Interconnection, LLC","Demand",89345,"megawatthours",2020-01-04,2,2020,1,"Saturday",0
"2020-01-04T01","PJM","PJM Interconnection, LLC","Demand",91538,"megawatthours",2020-01-04,1,2020,1,"Saturday",0
"2020-01-04T00","PJM","PJM Interconnection, LLC","Demand",93423,"megawatthours",2020-01-04,0,2020,1,"Saturday",0
"2020-01-05T23","PJM","PJM Interconnection, LLC","Demand",95936,"megawatthours",2020-01-05,23,2020,1,"Sunday",0
"2020-01-05T22","PJM","PJM Interconnection, LLC","Demand",90202,"megawatthours",2020-01-05,22,2020,1,"Sunday",0
"2020-01-05T21","PJM","PJM Interconnection, LLC","Demand",87392,"megawatthours",2020-01-05,21,2020,1,"Sunday",0
"2020-01-05T20","PJM","PJM Interconnection, LLC","Demand",87496,"megawatthours",2020-01-05,20,2020,1,"Sunday",0
"2020-01-05T19","PJM","PJM Interconnection, LLC","Demand",87592,"megawatthours",2020-01-05,19,2020,1,"Sunday",0
"2020-01-05T18","PJM","PJM Interconnection, LLC","Demand",87960,"megawatthours",2020-01-05,18,2020,1,"Sunday",0
"2020-01-05T17","PJM","PJM Interconnection, LLC","Demand",88174,"megawatthours",2020-01-05,17,2020,1,"Sunday",0
"2020-01-05T16","PJM","PJM Interconnection, LLC","Demand",87944,"megawatthours",2020-01-05,16,2020,1,"Sunday",0
"2020-01-05T15","PJM","PJM Interconnection, LLC","Demand",87686,"megawatthours",2020-01-05,15,2020,1,"Sunday",0
"2020-01-05T14","PJM","PJM Interconnection, LLC","Demand",86700,"megawatthours",2020-01-05,14,2020,1,"Sunday",0
"2020-01-05T13","PJM","PJM Interconnection, LLC","Demand",84852,"megawatthours",2020-01-05,13,2020,1,"Sunday",0
"2020-01-05T12","PJM","PJM Interconnection, LLC","Demand",81917,"megawatthours",2020-01-05,12,2020,1,"Sunday",0
"2020-01-05T11","PJM","PJM Interconnection, LLC","Demand",80402,"megawatthours",2020-01-05,11,2020,1,"Sunday",0
"2020-01-05T10","PJM","PJM Interconnection, LLC","Demand",79819,"megawatthours",2020-01-05,10,2020,1,"Sunday",0
"2020-01-05T09","PJM","PJM Interconnection, LLC","Demand",78979,"megawatthours",2020-01-05,9,2020,1,"Sunday",0
