"","Date","Company","EVs","EVTOURebate"
"158",2023-02-01,"Potomac Electric Power Co",18759,1
"159",2023-02-01,"Southern Maryland Electric Cooperative Inc.",2007,1
"160",2023-02-01,"The Potomac Edison Company",5407,1
"161",2023-03-01,"Baltimore Gas & Electric Co",28768,1
"162",2023-03-01,"Delmarva Power",2214,1
"163",2023-03-01,"Potomac Electric Power Co",19356,1
"164",2023-03-01,"Southern Maryland Electric Cooperative Inc.",2068,1
"165",2023-03-01,"The Potomac Edison Company",5633,1
"166",2023-04-01,"Baltimore Gas & Electric Co",29717,1
"167",2023-04-01,"Delmarva Power",2276,1
"168",2023-04-01,"Potomac Electric Power Co",19883,1
"169",2023-04-01,"Southern Maryland Electric Cooperative Inc.",2123,1
"170",2023-04-01,"The Potomac Edison Company",5828,1
"171",2023-05-01,"Baltimore Gas & Electric Co",30841,1
"172",2023-05-01,"Delmarva Power",2336,1
"173",2023-05-01,"Potomac Electric Power Co",20493,1
"174",2023-05-01,"Southern Maryland Electric Cooperative Inc.",2188,1
"175",2023-05-01,"The Potomac Edison Company",5988,1
"176",2023-06-01,"Baltimore Gas & Electric Co",32171,1
"177",2023-06-01,"Delmarva Power",2450,1
"178",2023-06-01,"Potomac Electric Power Co",21225,1
"179",2023-06-01,"Southern Maryland Electric Cooperative Inc.",2266,1
"180",2023-06-01,"The Potomac Edison Company",6267,1
"181",2023-07-01,"Baltimore Gas & Electric Co",33232,1
"182",2023-07-01,"Delmarva Power",2507,1
"183",2023-07-01,"Potomac Electric Power Co",21864,1
"184",2023-07-01,"Southern Maryland Electric Cooperative Inc.",2359,1
"185",2023-07-01,"The Potomac Edison Company",6470,1
"186",2023-08-01,"Baltimore Gas & Electric Co",34396,1
"187",2023-08-01,"Delmarva Power",2575,1
"188",2023-08-01,"Potomac Electric Power Co",22666,1
"189",2023-08-01,"Southern Maryland Electric Cooperative Inc.",2446,1
"190",2023-08-01,"The Potomac Edison Company",6748,1
"191",2023-09-01,"Baltimore Gas & Electric Co",35557,1
"192",2023-09-01,"Delmarva Power",2655,1
"193",2023-09-01,"Potomac Electric Power Co",23442,1
"194",2023-09-01,"Southern Maryland Electric Cooperative Inc.",2545,1
"195",2023-09-01,"The Potomac Edison Company",7023,1
"196",2023-10-01,"Baltimore Gas & Electric Co",36865,1
"197",2023-10-01,"Delmarva Power",2741,1
"198",2023-10-01,"Potomac Electric Power Co",24419,1
"199",2023-10-01,"Southern Maryland Electric Cooperative Inc.",2623,1
"200",2023-10-01,"The Potomac Edison Company",7245,1
"201",2023-11-01,"Baltimore Gas & Electric Co",37729,1
"202",2023-11-01,"Delmarva Power",2796,1
"203",2023-11-01,"Potomac Electric Power Co",25091,1
"204",2023-11-01,"Southern Maryland Electric Cooperative Inc.",2693,1
"205",2023-11-01,"The Potomac Edison Company",7408,1
"206",2023-12-01,"Baltimore Gas & Electric Co",39038,1
"207",2023-12-01,"Delmarva Power",2882,1
"208",2023-12-01,"Potomac Electric Power Co",26103,1
"209",2023-12-01,"Southern Maryland Electric Cooperative Inc.",2772,1
"210",2023-12-01,"The Potomac Edison Company",7716,1
"211",2024-01-01,"Baltimore Gas & Electric Co",40323,1
"212",2024-01-01,"Delmarva Power",2962,1
"213",2024-01-01,"Potomac Electric Power Co",26810,1
"214",2024-01-01,"Southern Maryland Electric Cooperative Inc.",2839,1
"215",2024-01-01,"The Potomac Edison Company",7853,1
"216",2024-02-01,"Baltimore Gas & Electric Co",41091,1
"217",2024-02-01,"Delmarva Power",3050,1
"218",2024-02-01,"Potomac Electric Power Co",27361,1
"219",2024-02-01,"Southern Maryland Electric Cooperative Inc.",2904,1
"220",2024-02-01,"The Potomac Edison Company",8013,1
"221",2024-03-01,"Baltimore Gas & Electric Co",42108,1
"222",2024-03-01,"Delmarva Power",3142,1
"223",2024-03-01,"Potomac Electric Power Co",28114,1
"224",2024-03-01,"Southern Maryland Electric Cooperative Inc.",3000,1
"225",2024-03-01,"The Potomac Edison Company",8248,1
"226",2024-04-01,"Baltimore Gas & Electric Co",43246,1
"227",2024-04-01,"Delmarva Power",3225,1
"228",2024-04-01,"Potomac Electric Power Co",28768,1
"229",2024-04-01,"Southern Maryland Electric Cooperative Inc.",3085,1
"230",2024-04-01,"The Potomac Edison Company",8487,1
"231",2024-05-01,"Baltimore Gas & Electric Co",44609,1
"232",2024-05-01,"Delmarva Power",3324,1
"233",2024-05-01,"Potomac Electric Power Co",29542,1
"234",2024-05-01,"Southern Maryland Electric Cooperative Inc.",3184,1
"235",2024-05-01,"The Potomac Edison Company",8794,1
"236",2024-06-01,"Baltimore Gas & Electric Co",45853,1
"237",2024-06-01,"Delmarva Power",3437,1
"238",2024-06-01,"Potomac Electric Power Co",30273,1
"239",2024-06-01,"Southern Maryland Electric Cooperative Inc.",3311,1
"240",2024-06-01,"The Potomac Edison Company",9071,1
"241",2024-07-01,"Baltimore Gas & Electric Co",47868,1
"242",2024-07-01,"Delmarva Power",3612,1
"243",2024-07-01,"Potomac Electric Power Co",31346,1
"244",2024-07-01,"Southern Maryland Electric Cooperative Inc.",3546,1
"245",2024-07-01,"The Potomac Edison Company",9485,1
"246",2024-08-01,"Baltimore Gas & Electric Co",49078,1
"247",2024-08-01,"Delmarva Power",3711,1
"248",2024-08-01,"Potomac Electric Power Co",32196,1
"249",2024-08-01,"Southern Maryland Electric Cooperative Inc.",3678,1
"250",2024-08-01,"The Potomac Edison Company",9758,1
